place_id,Type
ChIJWTt2DzzTtkcRShR95_8iqEU,Tire repair shop
ChIJ-fq2BWIe2KsRy4P4ByDN-Vo,Medical group
ChIJOYRGNDzTtkcRd59gSeL4cOM,Hair salon
ChIJsxXTOqrTtkcRfgfJUu8OGMI,Real estate agency
ChIJ_5tQK84ssUcRp1C5cpQRPk4,Real estate agency
ChIJS4fiP_DTtkcR2KVgBpHUrx8,Building consultant
ChIJM-BYS0K_wjsRMoHdCUH0pOQ,Energy equipment and solutions
ChIJnbjhGjvTtkcRw_L4xhSZgm0,Winery
ChIJb0f8ajrTtkcRTS9122M9XB0,Thai restaurant
ChIJ0_i5qT3TtkcRo_pQucGfNNg,Telephone company
ChIJYbSp2T-vIIYRULk_iiYvUR8,City park
ChIJE7ruUzrTtkcR9urbqrhpG20,Bus stop
ChIJR4hnCzvTtkcRUcZP5GUOAWY,Sports club
